,company,alt_company_name,company_location,review_year,country_bean_origin,intra_country_prod,specific_bean_origin_or_bar_name,percent_cocoa,num_ingredients,beans,sugar,sweetener_other,cocoa_butter,vanilla,lecithin,salt,characteristics,rating,continent
0,5150,,U.S.A.,2019,Tanzania,0,"Kokoa Kamili, batch 1",0.76,3,1,1,0,1,0,0,0,"rich cocoa, fatty, bready",3.25,North America
1,5150,,U.S.A.,2019,Dominican Republic,0,"Zorzal, batch 1",0.76,3,1,1,0,1,0,0,0,"cocoa, vegetal, savory",3.5,North America
2,5150,,U.S.A.,2019,Madagascar,0,"Bejofo Estate, batch 1",0.76,3,1,1,0,1,0,0,0,"cocoa, blackberry, full body",3.75,North America
3,5150,,U.S.A.,2021,Fiji,0,"Matasawalevu, batch 1",0.68,3,1,1,0,1,0,0,0,"chewy, off, rubbery",3.0,North America
4,5150,,U.S.A.,2021,Venezuela,0,"Sur del Lago, batch 1",0.72,3,1,1,0,1,0,0,0,"fatty, earthy, moss, nutty,chalky",3.0,North America
5,5150,,U.S.A.,2021,Uganda,0,"Semuliki Forest, batch 1",0.8,3,1,1,0,1,0,0,0,"mildly bitter, basic cocoa, fatty",3.25,North America
6,5150,,U.S.A.,2021,India,0,"Anamalai, batch 1",0.68,3,1,1,0,1,0,0,0,"milk brownie, macadamia,chewy",3.5,North America
7,A. Morin,,France,2012,Bolivia,0,Bolivia,0.7,4,1,1,0,1,0,1,0,"vegetal, nutty",3.5,Europe
8,A. Morin,,France,2012,Peru,0,Peru,0.63,4,1,1,0,1,0,1,0,"fruity, melon, roasty",3.75,Europe
9,A. Morin,,France,2013,Panama,0,Panama,0.7,4,1,1,0,1,0,1,0,"brief fruit note, earthy, nutty",2.75,Europe
10,A. Morin,,France,2013,Colombia,0,Colombie,0.7,4,1,1,0,1,0,1,0,"burnt rubber,alkalyzed notes",2.75,Europe
11,A. Morin,,France,2013,Madagascar,0,"Madagascar, Criollo",0.7,4,1,1,0,1,0,1,0,"sticky, red fruit, sour",3.0,Europe
12,A. Morin,,France,2013,Burma,0,Birmanie,0.7,4,1,1,0,1,0,1,0,"sticky, smokey, grass",3.0,Europe
13,A. Morin,,France,2013,Brazil,0,Brazil,0.7,4,1,1,0,1,0,1,0,mild tobacco,3.25,Europe
14,A. Morin,,France,2013,Papua New Guinea,0,Papua New Guinea,0.7,4,1,1,0,1,0,1,0,"mild fruit, strong smoke",3.25,Europe
15,A. Morin,,France,2013,Peru,0,Piura,0.7,4,1,1,0,1,0,1,0,"green, nutty, cocoa",3.25,Europe
16,A. Morin,,France,2013,Peru,0,Chanchamayo Province,0.7,4,1,1,0,1,0,1,0,"cocoa,sour,intense tangerine",3.5,Europe
17,A. Morin,,France,2013,Ecuador,0,Equateur,0.7,4,1,1,0,1,0,1,0,"sandy, nutty, cocoa, fig",3.75,Europe
18,A. Morin,,France,2013,Venezuela,0,Chuao,0.7,4,1,1,0,1,0,1,0,"oily, nut, caramel, raspberry",4.0,Europe
19,A. Morin,,France,2013,Peru,0,Chanchamayo Province,0.63,3,1,1,0,1,0,0,0,"sweet, cocoa, tangerine",4.0,Europe
20,A. Morin,,France,2014,Venezuela,0,"Carenero, Criollo",0.7,4,1,1,0,1,0,1,0,"harsh, leather, earthy",2.75,Europe
21,A. Morin,,France,2014,Cuba,0,Cuba,0.7,4,1,1,0,1,0,1,0,"sliglty dry, papaya",3.5,Europe
22,A. Morin,,France,2014,Venezuela,0,"Sur del Lago, Criollo",0.7,4,1,1,0,1,0,1,0,"nutty, mild choco, roasty",3.5,Europe
23,A. Morin,,France,2014,Venezuela,0,"Puerto Cabello, Criollo",0.7,4,1,1,0,1,0,1,0,"astringent, nutty, chocolatey",3.75,Europe
24,A. Morin,,France,2014,Peru,0,Pablino,0.7,4,1,1,0,1,0,1,0,"delicate, hazelnut, brownie",4.0,Europe
25,A. Morin,,France,2015,Togo,0,Kpime,0.7,4,1,1,0,1,0,1,0,"burnt wood, earthy, choco",2.75,Europe
26,A. Morin,,France,2015,Togo,0,Atsane,0.7,4,1,1,0,1,0,1,0,"roasty, acidic, nutty",3.0,Europe
27,A. Morin,,France,2015,Togo,0,Akata,0.7,4,1,1,0,1,0,1,0,"mild profile, chocolaty, spice",3.5,Europe
28,A. Morin,,France,2015,Peru,0,Quilla,0.7,4,1,1,0,1,0,1,0,"grainy texture, cocoa, sweet",3.5,Europe
