,Continent,Country
0,Africa,Algeria
1,Africa,Angola
2,Africa,Benin
3,Africa,Botswana
4,Africa,Burkina
5,Africa,Burundi
6,Africa,Cameroon
7,Africa,Cape Verde
8,Africa,Central African Republic
9,Africa,Chad
10,Africa,Comoros
11,Africa,Congo
12,Africa,DR Congo
13,Africa,Djibouti
14,Africa,Egypt
15,Africa,Equatorial Guinea
16,Africa,Eritrea
17,Africa,Ethiopia
18,Africa,Gabon
19,Africa,Gambia
20,Africa,Ghana
21,Africa,Guinea
22,Africa,Guinea-Bissau
23,Africa,Ivory Coast
24,Africa,Kenya
25,Africa,Lesotho
26,Africa,Liberia
27,Africa,Libya
28,Africa,Madagascar
29,Africa,Malawi
30,Africa,Mali
31,Africa,Mauritania
32,Africa,Mauritius
33,Africa,Morocco
34,Africa,Mozambique
35,Africa,Namibia
36,Africa,Niger
37,Africa,Nigeria
38,Africa,Rwanda
39,Africa,Sao Tome & Principe
40,Africa,Senegal
41,Africa,Seychelles
42,Africa,Sierra Leone
43,Africa,Somalia
44,Africa,South Africa
45,Africa,South Sudan
46,Africa,Sudan
47,Africa,Swaziland
48,Africa,Tanzania
49,Africa,Togo
50,Africa,Tunisia
51,Africa,Uganda
52,Africa,Zambia
53,Africa,Zimbabwe
54,Asia,Afghanistan
55,Asia,Bahrain
56,Asia,Bangladesh
57,Asia,Bhutan
58,Asia,Brunei
59,Asia,Burma (Myanmar)
60,Asia,Cambodia
61,Asia,China
62,Asia,East Timor
63,Asia,India
64,Asia,Indonesia
65,Asia,Iran
66,Asia,Iraq
67,Asia,Israel
68,Asia,Japan
69,Asia,Jordan
70,Asia,Kazakhstan
71,Asia,"Korea, North"
72,Asia,South Korea
73,Asia,Kuwait
74,Asia,Kyrgyzstan
75,Asia,Laos
76,Asia,Lebanon
77,Asia,Malaysia
78,Asia,Maldives
79,Asia,Mongolia
80,Asia,Nepal
81,Asia,Oman
82,Asia,Pakistan
83,Asia,Philippines
84,Asia,Qatar
85,Asia,Russia
86,Asia,Saudi Arabia
87,Asia,Singapore
88,Asia,Sri Lanka
89,Asia,Syria
90,Asia,Tajikistan
91,Asia,Thailand
92,Asia,Turkey
93,Asia,Turkmenistan
94,Asia,U.A.E.
95,Asia,Uzbekistan
96,Asia,Vietnam
97,Asia,Yemen
98,Europe,Albania
99,Europe,Andorra
100,Europe,Armenia
101,Europe,Austria
102,Europe,Azerbaijan
103,Europe,Belarus
104,Europe,Belgium
105,Europe,Bosnia and Herzegovina
106,Europe,Bulgaria
107,Europe,Croatia
108,Europe,Cyprus
109,Europe,Czech Republic
110,Europe,Denmark
111,Europe,Estonia
112,Europe,Finland
113,Europe,France
114,Europe,Georgia
115,Europe,Germany
116,Europe,Greece
117,Europe,Hungary
118,Europe,Iceland
119,Europe,Ireland
120,Europe,Italy
121,Europe,Latvia
122,Europe,Liechtenstein
123,Europe,Lithuania
124,Europe,Luxembourg
125,Europe,Macedonia
126,Europe,Malta
127,Europe,Moldova
128,Europe,Monaco
129,Europe,Montenegro
130,Europe,Netherlands
131,Europe,Norway
132,Europe,Poland
133,Europe,Portugal
134,Europe,Romania
135,Europe,San Marino
136,Europe,Serbia
137,Europe,Slovakia
138,Europe,Slovenia
139,Europe,Spain
140,Europe,Sweden
141,Europe,Switzerland
142,Europe,Ukraine
143,Europe,U.K.
144,Europe,Vatican City
145,North America,Antigua and Barbuda
146,North America,Bahamas
147,North America,Barbados
148,North America,Belize
149,North America,Canada
150,North America,Costa Rica
151,North America,Cuba
152,North America,Dominica
153,North America,Dominican Republic
154,North America,El Salvador
155,North America,Grenada
156,North America,Guatemala
157,North America,Haiti
158,North America,Honduras
159,North America,Jamaica
160,North America,Mexico
161,North America,Nicaragua
162,North America,Panama
163,North America,Saint Kitts and Nevis
164,North America,St. Lucia
165,North America,St.Vincent-Grenadines
166,North America,Trinidad and Tobago
167,North America,U.S.A.
168,Oceania,Australia
169,Oceania,Fiji
170,Oceania,Kiribati
171,Oceania,Marshall Islands
172,Oceania,Micronesia
173,Oceania,Nauru
174,Oceania,New Zealand
175,Oceania,Palau
176,Oceania,Papua New Guinea
177,Oceania,Samoa
178,Oceania,Solomon Islands
179,Oceania,Tonga
180,Oceania,Tuvalu
181,Oceania,Vanuatu
182,South America,Argentina
183,South America,Bolivia
184,South America,Brazil
185,South America,Chile
186,South America,Colombia
187,South America,Ecuador
188,South America,Guyana
189,South America,Paraguay
190,South America,Peru
191,South America,Suriname
192,South America,Uruguay
193,South America,Venezuela
194,Asia,Taiwan
195,North America,Puerto Rico
196,North America,Martinique
